,"4, 0"
70,"['XMRUSDT', 'UNIUSDT', 'IOTXUSDT', 'AUDIOUSDT', 'ARPAUSDT']"
71,"['FLMUSDT', 'CHRUSDT', 'CELOUSDT', 'CTSIUSDT', 'WOOUSDT']"
72,[]
73,[]
74,[]
75,['ENJUSDT']
76,['ENJUSDT']
77,['HBARUSDT']
78,[]
79,[]
80,[]
81,[]
82,[]
83,[]
84,[]
85,[]
86,"['TRXUSDT', 'BTCDOMUSDT', 'BNXUSDT']"
87,"['TRXUSDT', 'BTCDOMUSDT', 'BNXUSDT']"
88,"['TRXUSDT', 'BTCDOMUSDT', 'KLAYUSDT']"
89,[]
90,[]
