,0
5,"['OMGUSDT', 'BANDUSDT', 'BALUSDT', 'UNIUSDT', 'ALPHAUSDT', 'CELRUSDT', 'IOTXUSDT']"
6,"['IOTAUSDT', 'NEOUSDT', 'ENJUSDT', 'CHRUSDT', 'MANAUSDT']"
7,"['BCHUSDT', 'LINKUSDT', 'OMGUSDT', 'MKRUSDT', 'DEFIUSDT', 'ALPHAUSDT', '1INCHUSDT', 'ALICEUSDT', 'CELRUSDT', 'DODOBUSD']"
8,"['BCHUSDT', 'THETAUSDT', 'RLCUSDT', 'MKRUSDT', 'DOTUSDT', 'DEFIUSDT', 'API3USDT', 'DARUSDT']"
9,"['ENJUSDT', 'RSRUSDT', '1INCHUSDT', 'ALICEUSDT', 'CELRUSDT', 'MASKUSDT', 'ARPAUSDT']"
10,"['ZECUSDT', 'ZENUSDT', 'SFPUSDT', 'IOTXUSDT', 'C98USDT', 'MASKUSDT', 'ARPAUSDT']"
11,"['BATUSDT', 'SXPUSDT', 'SNXUSDT', 'LRCUSDT', 'OCEANUSDT', '1INCHUSDT', 'ANKRUSDT', 'SFPUSDT', 'APEUSDT', 'WOOUSDT']"
12,"['RUNEUSDT', '1INCHUSDT', 'SFPUSDT', 'GTCUSDT', 'C98USDT', 'MASKUSDT']"
13,"['EOSUSDT', 'ADAUSDT', 'DASHUSDT', 'KNCUSDT', 'MATICUSDT', 'OCEANUSDT', 'CTSIUSDT']"
14,"['LTCUSDT', 'ZECUSDT', 'AVAXUSDT', 'MATICUSDT', 'OGNUSDT', 'IOTXUSDT', 'CTSIUSDT']"
15,"['ADAUSDT', 'XMRUSDT', 'ALGOUSDT', 'SOLUSDT', 'COTIUSDT', 'IOTXUSDT', 'GALAUSDT', 'CTSIUSDT']"
16,"['SOLUSDT', 'HBARUSDT', 'HOTUSDT', 'MTLUSDT', '1000XECUSDT', 'ARUSDT', 'ENSUSDT']"
17,"['ETHUSDT', 'XLMUSDT', 'NEOUSDT', 'MTLUSDT']"
18,"['ZECUSDT', 'ZRXUSDT', 'RVNUSDT', 'HBARUSDT']"
19,"['ZECUSDT', 'RSRUSDT', 'ZENUSDT', 'GRTUSDT', 'KLAYUSDT', 'PEOPLEUSDT', 'DODOBUSD']"
20,"['TOMOUSDT', 'XEMUSDT', 'LINAUSDT']"
21,"['LINKUSDT', 'DASHUSDT', 'BANDUSDT', 'DOTUSDT', 'COTIUSDT']"
22,"['BCHUSDT', 'ALGOUSDT', 'OMGUSDT', 'DOTUSDT', 'RENUSDT']"
23,"['XTZUSDT', 'ALGOUSDT', 'KNCUSDT', 'BANDUSDT', 'DOTUSDT', 'CHRUSDT', 'CELOUSDT', 'CTSIUSDT', 'API3USDT']"
24,"['ETHUSDT', 'ZECUSDT', 'ALGOUSDT', 'SOLUSDT', 'RENUSDT', 'KSMUSDT', 'MASKUSDT', 'CTSIUSDT', 'LPTUSDT', 'API3USDT']"
